obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""363.8468""","=""""","=""7.38e-13""",D,"=""21870.464""","=""49346.729""","=""3s.3p""","=""3P*""","=""1""","=""3s.4p""","=""1P*""","=""1""",M1,"=""c43""","=""""",
"=""""","=""363.8468""","=""""","=""2.12e-12""",C,"=""21870.464""","=""49346.729""","=""3s.3p""","=""3P*""","=""1""","=""3s.4p""","=""1P*""","=""1""",E2,"=""c43""","=""""",
"=""""","=""364.3867""","=""""","=""2.80e-12""",C,"=""21911.178""","=""49346.729""","=""3s.3p""","=""3P*""","=""2""","=""3s.4p""","=""1P*""","=""1""",E2,"=""c43""","=""""",
"=""""","=""364.3867""","=""""","=""1.22e-12""",D,"=""21911.178""","=""49346.729""","=""3s.3p""","=""3P*""","=""2""","=""3s.4p""","=""1P*""","=""1""",M1,"=""c43""","=""""",
"=""378.68""","=""378.67""","=""a""","=""""",,"=""35051.264""","=""61452""","=""3s.3p""","=""1P*""","=""1""","=""3s.23d""","=""1D""","=""2""",,"=""""","=""L4057""",
"=""378.97""","=""378.96""","=""a""","=""""",,"=""35051.264""","=""61432""","=""3s.3p""","=""1P*""","=""1""","=""3s.22d""","=""1D""","=""2""",,"=""""","=""L4057""",
"=""379.33""","=""379.32""","=""a""","=""""",,"=""35051.264""","=""61407""","=""3s.3p""","=""1P*""","=""1""","=""3s.21d""","=""1D""","=""2""",,"=""""","=""L4057""",
"=""379.722""","=""379.717""","=""a""","=""""",,"=""35051.264""","=""61379.2""","=""3s.3p""","=""1P*""","=""1""","=""3s.20d""","=""1D""","=""2""",,"=""""","=""L4057""",
"=""380.187""","=""380.186""","=""a""","=""""",,"=""35051.264""","=""61346.7""","=""3s.3p""","=""1P*""","=""1""","=""3s.19d""","=""1D""","=""2""",,"=""""","=""L4057""",
"=""380.741""","=""380.741""","=""a""","=""""",,"=""35051.264""","=""61308.4""","=""3s.3p""","=""1P*""","=""1""","=""3s.18d""","=""1D""","=""2""",,"=""""","=""L4057""",
"=""381.402""","=""381.402""","=""a""","=""""",,"=""35051.264""","=""61262.9""","=""3s.3p""","=""1P*""","=""1""","=""3s.17d""","=""1D""","=""2""",,"=""""","=""L4057""",
"=""382.200""","=""382.199""","=""a""","=""""",,"=""35051.264""","=""61208.2""","=""3s.3p""","=""1P*""","=""1""","=""3s.16d""","=""1D""","=""2""",,"=""""","=""L4057""",
