obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""484.916""","=""0.002""","=""484.9153""","=""0.0009""","=""3*""","=""""",,"=""52080.943""","=""72697.34""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.7p""","=""3P*""","=""1""",,"=""""","=""L483""",
"=""484.916""","=""0.002""","=""484.9153""","=""0.0007""","=""3*""","=""""",,"=""52080.943""","=""72697.34""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.7p""","=""3P*""","=""2""",,"=""""","=""L483""",
"=""484.916""","=""0.002""","=""484.9156""","=""0.0014""","=""3*""","=""""",,"=""52080.943""","=""72697.33""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.7p""","=""3P*""","=""0""",,"=""""","=""L483""",
"=""""","=""""","=""485.6045""","=""0.0019""","=""""","=""1.03e-14""",B,"=""21978.31""","=""42565.4502""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.2p""","=""1P*""","=""1""",M1,"=""T7096c75""","=""L5964""",
"=""""","=""""","=""485.61897""","=""0.00024""","=""""","=""2.75e-15""",B,"=""21978.925""","=""42565.4502""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.2p""","=""1P*""","=""1""",E2,"=""T7096c75""","=""""",
"=""""","=""""","=""485.61897""","=""0.00024""","=""""","=""7.68e-15""",B,"=""21978.925""","=""42565.4502""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.2p""","=""1P*""","=""1""",M1,"=""T7096c75""","=""L5964""",
"=""""","=""""","=""485.6741""","=""0.0017""","=""""","=""2.41e-15""",B,"=""21981.26""","=""42565.4502""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.2p""","=""1P*""","=""1""",E2,"=""T7096c75""","=""""",
"=""""","=""""","=""485.6741""","=""0.0017""","=""""","=""1.28e-14""",B,"=""21981.26""","=""42565.4502""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.2p""","=""1P*""","=""1""",M1,"=""T7096c75""","=""L5964""",
"=""508.775""","=""0.002""","=""508.7714""","=""0.0008""","=""5*""","=""""",,"=""52080.943""","=""71730.66""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.6p""","=""3P*""","=""1""",,"=""""","=""L483""",
"=""508.775""","=""0.002""","=""508.7714""","=""0.0008""","=""5*""","=""""",,"=""52080.943""","=""71730.66""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.6p""","=""3P*""","=""2""",,"=""""","=""L483""",
"=""508.775""","=""0.002""","=""508.7719""","=""0.0013""","=""5*""","=""""",,"=""52080.943""","=""71730.64""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.6p""","=""3P*""","=""0""",,"=""""","=""L483""",
"=""""","=""""","=""525.007""","=""0.014""","=""""","=""3.1e-03""",C,"=""54677.349""","=""[73719.4]""","=""1s2.2s.3s""","=""1S""","=""0""","=""1s2.2s.9p""","=""1P*""","=""1""",,"=""u28""","=""""",
"=""526.1525""","=""0.0020""","=""526.1527""","=""0.0014""","=""5""","=""""",,"=""70120.59""","=""89121.19""","=""1s2.2s.5p""","=""1P*""","=""1""","=""1s2.2p.3p""","=""1P""","=""1""",,"=""""","=""L2771""",
"=""""","=""""","=""536.552""","=""0.014""","=""""","=""3.7e-03""",C,"=""54677.349""","=""[73309.7]""","=""1s2.2s.3s""","=""1S""","=""0""","=""1s2.2s.8p""","=""1P*""","=""1""",,"=""u28""","=""""",
"=""""","=""""","=""554.648""","=""0.015""","=""""","=""5.46e-03""",C,"=""54677.349""","=""[72701.8]""","=""1s2.2s.3s""","=""1S""","=""0""","=""1s2.2s.7p""","=""1P*""","=""1""",,"=""u28""","=""""",
"=""555.78""","=""0.10""","=""555.881""","=""0.003""","=""*""","=""""",,"=""52080.943""","=""[70065.40]""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.5p""","=""3P*""","=""0""",,"=""""","=""L2031""",
"=""555.78""","=""0.10""","=""555.881""","=""0.005""","=""*""","=""""",,"=""52080.943""","=""[70065.40]""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.5p""","=""3P*""","=""2""",,"=""""","=""L2031""",
"=""555.78""","=""0.10""","=""555.881""","=""0.005""","=""*""","=""""",,"=""52080.943""","=""[70065.40]""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.5p""","=""3P*""","=""1""",,"=""""","=""L2031""",
"=""585.701""","=""0.002""","=""585.7012""","=""0.0021""","=""3""","=""6.99e-03""",C,"=""54677.349""","=""71746.17""","=""1s2.2s.3s""","=""1S""","=""0""","=""1s2.2s.6p""","=""1P*""","=""1""",,"=""u28""","=""L483""",
"=""""","=""""","=""593.771""","=""0.018""","=""""","=""1.2e-03""",D,"=""56882.5474""","=""[73719.4]""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2s.9p""","=""1P*""","=""1""",,"=""u28""","=""""",
"=""""","=""""","=""608.580""","=""0.019""","=""""","=""1.4e-03""",D,"=""56882.5474""","=""[73309.7]""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2s.8p""","=""1P*""","=""1""",,"=""u28""","=""""",
"=""""","=""""","=""608.600""","=""0.003""","=""""","=""1.9e-04""",D,"=""56882.5474""","=""73309.16""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2s.8p""","=""3P*""","=""1""",,"=""u28""","=""""",
"=""622.9110""","=""0.0020""","=""622.9108""","=""0.0019""","=""3""","=""2.26e-02""",B,"=""56882.5474""","=""72931.77""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2s.7f""","=""1F*""","=""3""",,"=""u28""","=""L4743""",
"=""""","=""""","=""631.966""","=""0.020""","=""""","=""2.2e-03""",D,"=""56882.5474""","=""[72701.8]""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2s.7p""","=""1P*""","=""1""",,"=""u28""","=""""",
"=""""","=""""","=""632.145""","=""0.003""","=""""","=""3.5e-07""",D,"=""56882.5474""","=""72697.34""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2s.7p""","=""3P*""","=""1""",,"=""u28""","=""""",
