obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""380.05431""","=""380.05425+""","=""30""","=""""",,"=""80916.7680""","=""107221.333""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).7p""","=""2[3/2]""","=""1""",,"=""""","=""L4054""",
"=""381.22150""","=""381.22141+""","=""20""","=""""",,"=""80916.7680""","=""107140.800""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).7p""","=""2[5/2]""","=""2""",,"=""""","=""L4054""",
"=""383.77028""","=""383.77028+""","=""30*""","=""""",,"=""79971.7417""","=""106021.607""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",,"=""""","=""L7350""",
"=""383.78152""","=""383.78153+""","=""30*""","=""""",,"=""79971.7417""","=""106020.843""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""",,"=""""","=""L4054""",
"=""384.59778""","=""384.59774+""","=""15""","=""""",,"=""79971.7417""","=""105965.562""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",,"=""""","=""L7350""",
"=""384.612""","=""384.61425+""","=""2""","=""""",,"=""79971.7417""","=""105964.446""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",,"=""""","=""L7408""",
"=""391.516""","=""391.51682+""","=""1""","=""""",,"=""85846.7046""","=""111381.160""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<1/2>).4f""","=""2[5/2]""","=""2""",,"=""""","=""L7408""",
"=""392.605""","=""392.6027+""","=""1""","=""""",,"=""85191.6166""","=""110655.45""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""4s2.4p5.(2P*<3/2>).7f""","=""2[3/2]""","=""1""",,"=""""","=""L7408""",
"=""394.525""","=""394.5239+""","=""0""","=""""",,"=""85846.7046""","=""111186.54""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).8f""","=""2[3/2]""","=""1""",,"=""""","=""L3988""",
"=""398.21699""","=""398.21695+""","=""6""","=""""",,"=""80916.7680""","=""106021.607""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",,"=""""","=""L7350""",
