obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""408.2981""","=""0.0005""","=""408.2980""","=""0.0005""","=""2700""","=""""",,"=""64089.8990""","=""88574.90""","=""2s.2p3""","=""3D*""","=""1""","=""2s2.2p.(2P*<1/2>).7f""","=""2[5/2]""","=""2""",,"=""""","=""L17684""",
"=""408.3161""","=""0.0010""","=""408.3163""","=""0.0005""","=""2700*""","=""""",,"=""64090.99351""","=""88574.90""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.(2P*<1/2>).7f""","=""2[5/2]""","=""2""",,"=""""","=""L17684""",
"=""408.3161""","=""0.0010""","=""408.3165""","=""0.0008""","=""2700*""","=""""",,"=""64090.99351""","=""88574.89""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.(2P*<1/2>).7f""","=""2[5/2]""","=""3""",,"=""""","=""L17684""",
"=""414.6264""","=""0.0005""","=""414.6276""","=""0.0003""","=""4000""","=""""",,"=""64086.96961""","=""88198.20""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.7p""","=""3P""","=""2""",,"=""""","=""L17684""",
"=""414.6971""","=""0.0005""","=""414.6968""","=""0.0003""","=""1900""","=""""",,"=""64090.99351""","=""88198.20""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.7p""","=""3P""","=""2""",,"=""""","=""L17684""",
"=""414.7976""","=""0.0005""","=""414.7976""","=""0.0005""","=""2700""","=""""",,"=""64090.99351""","=""88192.34""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.7p""","=""3P""","=""1""",,"=""""","=""L17684""",
"=""415.3374""","=""0.0005""","=""415.3373""","=""0.0005""","=""2300""","=""""",,"=""64089.8990""","=""88159.93""","=""2s.2p3""","=""3D*""","=""1""","=""2s2.2p.7p""","=""3P""","=""0""",,"=""""","=""L17684""",
"=""415.834""","=""0.020""","=""415.7723""","=""0.0007""","=""2000bl(Fe II)""","=""""",,"=""64090.99351""","=""88135.84""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.7p""","=""3D""","=""3""",,"=""""","=""L2138c153""",
"=""420.9710""","=""0.0010""","=""420.9720""","=""0.0007""","=""1800*""","=""""",,"=""64089.8990""","=""87837.76""","=""2s.2p3""","=""3D*""","=""1""","=""2s2.2p.(2P*<3/2>).6f""","=""2[3/2]""","=""1""",,"=""""","=""L17684""",
"=""420.9710""","=""0.0010""","=""420.9720""","=""0.0007""","=""1800*""","=""""",,"=""64089.8990""","=""87837.76""","=""2s.2p3""","=""3D*""","=""1""","=""2s2.2p.(2P*<3/2>).6f""","=""2[3/2]""","=""2""",,"=""""","=""L17684""",
"=""420.9905""","=""0.0010""","=""420.9914""","=""0.0007""","=""1800*""","=""""",,"=""64090.99351""","=""87837.76""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.(2P*<3/2>).6f""","=""2[3/2]""","=""1""",,"=""""","=""L17684""",
"=""420.9905""","=""0.0010""","=""420.9914""","=""0.0007""","=""1800*""","=""""",,"=""64090.99351""","=""87837.76""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.(2P*<3/2>).6f""","=""2[3/2]""","=""2""",,"=""""","=""L17684""",
"=""421.1115""","=""0.0010""","=""421.1101""","=""0.0003""","=""4100*""","=""""",,"=""64086.96961""","=""87827.043""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.(2P*<3/2>).6f""","=""2[5/2]""","=""2""",,"=""""","=""L17684""",
"=""421.1115""","=""0.0010""","=""421.1110""","=""0.0007""","=""4100*""","=""""",,"=""64086.96961""","=""87826.99""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.(2P*<3/2>).6f""","=""2[5/2]""","=""3""",,"=""""","=""L17684""",
"=""421.1613""","=""0.0005""","=""421.1620""","=""0.0003""","=""2700""","=""""",,"=""64089.8990""","=""87827.043""","=""2s.2p3""","=""3D*""","=""1""","=""2s2.2p.(2P*<3/2>).6f""","=""2[5/2]""","=""2""",,"=""""","=""L17684""",
"=""421.1817""","=""0.0010""","=""421.1815""","=""0.0003""","=""4100*""","=""""",,"=""64090.99351""","=""87827.043""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.(2P*<3/2>).6f""","=""2[5/2]""","=""2""",,"=""""","=""L17684""",
"=""421.1817""","=""0.0010""","=""421.1824""","=""0.0007""","=""4100*""","=""""",,"=""64090.99351""","=""87826.99""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.(2P*<3/2>).6f""","=""2[5/2]""","=""3""",,"=""""","=""L17684""",
"=""421.2342""","=""0.0010""","=""421.2341""","=""0.0014""","=""9200*""","=""""",,"=""64086.96961""","=""87820.05""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.(2P*<3/2>).6f""","=""2[7/2]""","=""4""",,"=""""","=""L17684""",
"=""421.2342""","=""0.0010""","=""421.2357""","=""0.0005""","=""9200*""","=""""",,"=""64086.96961""","=""87819.96""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.(2P*<3/2>).6f""","=""2[7/2]""","=""3""",,"=""""","=""L17684""",
"=""421.3074""","=""0.0005""","=""421.3072""","=""0.0005""","=""4000""","=""""",,"=""64090.99351""","=""87819.96""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.(2P*<3/2>).6f""","=""2[7/2]""","=""3""",,"=""""","=""L17684""",
"=""422.2466""","=""0.0010""","=""422.2454""","=""0.0011""","=""6100*""","=""""",,"=""64086.96961""","=""87763.21""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.(2P*<1/2>).6f""","=""2[7/2]""","=""3""",,"=""""","=""L17684""",
