obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""468.6386""","=""0.0011""","=""468.6386""","=""0.0013""","=""*""","=""""",,"=""62350.325""","=""83682.76""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.19p""","=""3P*""","=""1""",,"=""""","=""L11984""",
"=""468.6386""","=""0.0011""","=""468.6386""","=""0.0020""","=""*""","=""""",,"=""62350.325""","=""83682.76""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.19p""","=""3P*""","=""0""",,"=""""","=""L11984""",
"=""469.9797""","=""0.0011""","=""469.9796""","=""0.0011""","=""""","=""""",,"=""62350.325""","=""83621.89""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.18p""","=""1P*""","=""1""",,"=""""","=""L11984""",
"=""470.1171""","=""0.0011""","=""470.1171""","=""0.0011""","=""""","=""""",,"=""62350.325""","=""83615.67""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.18p""","=""3P*""","=""2""",,"=""""","=""L11984""",
"=""470.3011""","=""0.0011""","=""470.3011""","=""0.0011""","=""""","=""""",,"=""62350.325""","=""83607.35""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.18p""","=""3P*""","=""1""",,"=""""","=""L11984""",
"=""470.3051""","=""0.0011""","=""470.3051""","=""0.0011""","=""""","=""""",,"=""62350.325""","=""83607.17""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.18p""","=""3P*""","=""0""",,"=""""","=""L11984""",
"=""471.9742""","=""0.0011""","=""471.9744""","=""0.0011""","=""""","=""""",,"=""62350.325""","=""83531.99""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.17p""","=""1P*""","=""1""",,"=""""","=""L11984""",
"=""472.1512""","=""0.0011""","=""472.1511""","=""0.0011""","=""""","=""""",,"=""62350.325""","=""83524.06""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.17p""","=""3P*""","=""2""",,"=""""","=""L11984""",
"=""472.3814""","=""0.0011""","=""472.3814""","=""0.0011""","=""""","=""""",,"=""62350.325""","=""83513.74""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.17p""","=""3P*""","=""1""",,"=""""","=""L11984""",
"=""472.3919""","=""0.0011""","=""472.3917""","=""0.0011""","=""""","=""""",,"=""62350.325""","=""83513.28""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.17p""","=""3P*""","=""0""",,"=""""","=""L11984""",
"=""474.5148""","=""0.0011""","=""474.5146""","=""0.0011""","=""""","=""""",,"=""62350.325""","=""83418.60""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.16p""","=""1P*""","=""1""",,"=""""","=""L11984""",
"=""474.7458""","=""0.0011""","=""474.7458""","=""0.0011""","=""""","=""""",,"=""62350.325""","=""83408.34""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.16p""","=""3P*""","=""2""",,"=""""","=""L11984""",
"=""475.0393""","=""0.0011""","=""475.0393""","=""0.0011""","=""""","=""""",,"=""62350.325""","=""83395.33""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.16p""","=""3P*""","=""1""",,"=""""","=""L11984""",
"=""475.0560""","=""0.0011""","=""475.0560""","=""0.0011""","=""""","=""""",,"=""62350.325""","=""83394.59""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.16p""","=""3P*""","=""0""",,"=""""","=""L11984""",
"=""477.8118""","=""0.0011""","=""477.8117""","=""0.0011""","=""""","=""""",,"=""62350.325""","=""83273.22""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.15p""","=""1P*""","=""1""",,"=""""","=""L11984""",
"=""478.1274""","=""0.0011""","=""478.1273""","=""0.0011""","=""""","=""""",,"=""62350.325""","=""83259.41""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.15p""","=""3P*""","=""2""",,"=""""","=""L11984""",
"=""478.5153""","=""0.0011""","=""478.5155""","=""0.0011""","=""""","=""""",,"=""62350.325""","=""83242.45""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.15p""","=""3P*""","=""1""",,"=""""","=""L11984""",
"=""478.5354""","=""0.0011""","=""478.5354""","=""0.0011""","=""""","=""""",,"=""62350.325""","=""83241.58""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.15p""","=""3P*""","=""0""",,"=""""","=""L11984""",
"=""482.2204""","=""0.0012""","=""482.2206""","=""0.0012""","=""""","=""""",,"=""62350.325""","=""83081.93""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.14p""","=""1P*""","=""1""",,"=""""","=""L11984""",
"=""482.6594""","=""0.0012""","=""482.6594""","=""0.0012""","=""""","=""""",,"=""62350.325""","=""83063.08""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.14p""","=""3P*""","=""2""",,"=""""","=""L11984""",
"=""483.1878""","=""0.0012""","=""483.1878""","=""0.0012""","=""""","=""""",,"=""62350.325""","=""83040.43""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.14p""","=""3P*""","=""1""",,"=""""","=""L11984""",
"=""483.2238""","=""0.0012""","=""483.2238""","=""0.0012""","=""""","=""""",,"=""62350.325""","=""83038.89""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.14p""","=""3P*""","=""0""",,"=""""","=""L11984""",
"=""488.2999""","=""0.0005""","=""488.3001""","=""0.0003""","=""6""","=""""",,"=""62350.325""","=""82823.816""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.13p""","=""1P*""","=""1""",,"=""""","=""L3499""",
"=""488.9489""","=""0.0012""","=""488.9489""","=""0.0012""","=""""","=""""",,"=""62350.325""","=""82796.65""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.13p""","=""3P*""","=""2""",,"=""""","=""L11984""",
"=""489.6914""","=""0.0012""","=""489.6909""","=""0.0012""","=""""","=""""",,"=""62350.325""","=""82765.67""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.13p""","=""3P*""","=""1""",,"=""""","=""L11984""",
