obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""636.3776""","=""""","=""3.39e-14""",C+,"=""158.265""","=""15867.862""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p4""","=""1D""","=""2""",E2,"=""T4539,T5081""","=""""",
"=""""","=""636.3776""","=""""","=""1.82e-11""",B+,"=""158.265""","=""15867.862""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p4""","=""1D""","=""2""",M1,"=""T4539,T5081""","=""""",
"=""636.634""","=""636.6335+""","=""100""","=""""",,"=""113996.239""","=""129699.521""","=""2s2.2p3.(2D*).3p""","=""1F""","=""3""","=""2s2.2p3.(2D*<3/2>).4d""","=""1G*""","=""4""",,"=""""","=""L3760""",
"=""637.432""","=""637.4324+""","=""100""","=""""",,"=""113996.239""","=""129679.841""","=""2s2.2p3.(2D*).3p""","=""1F""","=""3""","=""2s2.2p3.(2D*).4d""","=""3G*""","=""4""",,"=""""","=""L3760""",
"=""""","=""639.1733""","=""""","=""8.60e-15""",B+,"=""226.977""","=""15867.862""","=""2s2.2p4""","=""3P""","=""0""","=""2s2.2p4""","=""1D""","=""2""",E2,"=""T4539,T5081""","=""""",
"=""645.360""","=""645.3602""","=""320""","=""1.65e-02""",C+,"=""86625.757""","=""102116.698""","=""2s2.2p3.(4S*).3p""","=""5P""","=""1""","=""2s2.2p3.(4S*).5s""","=""5S*""","=""2""",,"=""T5713LS""","=""L3760""",
"=""645.444""","=""645.4444""","=""360""","=""2.75e-02""",C+,"=""86627.778""","=""102116.698""","=""2s2.2p3.(4S*).3p""","=""5P""","=""2""","=""2s2.2p3.(4S*).5s""","=""5S*""","=""2""",,"=""T5713LS""","=""L3760""",
"=""645.598""","=""645.5977""","=""400""","=""3.85e-02""",C+,"=""86631.454""","=""102116.698""","=""2s2.2p3.(4S*).3p""","=""5P""","=""3""","=""2s2.2p3.(4S*).5s""","=""5S*""","=""2""",,"=""T5713LS""","=""L3760""",
"=""660.491""","=""660.4904+""","=""80""","=""""",,"=""113996.239""","=""129132.323""","=""2s2.2p3.(2D*).3p""","=""1F""","=""3""","=""2s2.2p3.(2D*<3/2>).5s""","=""1D*""","=""2""",,"=""""","=""L3760""",
"=""665.383""","=""665.3834+""","=""100""","=""""",,"=""115918.143""","=""130942.923""","=""2s2.2p3.(2P*).3s""","=""1P*""","=""1""","=""2s2.2p3.(2P*).3p""","=""1S""","=""0""",,"=""""","=""L3760""",
"=""""","=""672.6284""","=""""","=""1.18e-05""",C,"=""73768.200""","=""88631.146""","=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""","=""2s2.2p3.(4S*).3p""","=""3P""","=""2""",,"=""T5986""","=""""",
"=""""","=""672.6537""","=""""","=""6.44e-06""",C,"=""73768.200""","=""88630.587""","=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""","=""2s2.2p3.(4S*).3p""","=""3P""","=""1""",,"=""T5986""","=""""",
