obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""532.8617""","=""""","=""2.05e-03""",D+,"=""88107.260""","=""106868.635""","=""2s.2p4""","=""4P""","=""5/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""7/2""",,"=""u18,LS""","=""""",
"=""""","=""533.337""","=""""","=""9.28e-04""",D+,"=""96750.840""","=""115495.5""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).9s""","=""4P""","=""3/2""",,"=""T5723LS""","=""""",
"=""""","=""534.4049""","=""""","=""6.10e-04""",D+,"=""88107.260""","=""106814.459""","=""2s.2p4""","=""4P""","=""5/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""5/2""",,"=""u18,LS""","=""""",
"=""""","=""534.649""","=""""","=""9.21e-04""",D+,"=""96750.840""","=""115449.5""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).9s""","=""4P""","=""1/2""",,"=""T5723LS""","=""""",
"=""""","=""535.4388""","=""""","=""1.01e-04""",D,"=""88107.260""","=""106778.337""","=""2s.2p4""","=""4P""","=""5/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""3/2""",,"=""u18,LS""","=""""",
"=""""","=""535.6623""","=""""","=""1.41e-03""",D+,"=""88151.170""","=""106814.459""","=""2s.2p4""","=""4P""","=""3/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""5/2""",,"=""u18,LS""","=""""",
"=""""","=""536.7010""","=""""","=""1.07e-03""",D+,"=""88151.170""","=""106778.337""","=""2s.2p4""","=""4P""","=""3/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""3/2""",,"=""u18,LS""","=""""",
"=""""","=""537.2606""","=""""","=""8.34e-04""",D+,"=""88170.570""","=""106778.337""","=""2s.2p4""","=""4P""","=""1/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""3/2""",,"=""u18,LS""","=""""",
"=""""","=""537.2665""","=""""","=""3.33e-04""",D,"=""88151.170""","=""106758.731""","=""2s.2p4""","=""4P""","=""3/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""1/2""",,"=""u18,LS""","=""""",
"=""""","=""537.8273""","=""""","=""1.66e-03""",D+,"=""88170.570""","=""106758.731""","=""2s.2p4""","=""4P""","=""1/2""","=""2s2.2p2.(3P).4p""","=""4D*""","=""1/2""",,"=""u18,LS""","=""""",
