obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""589.434+""","=""""","=""2.14e-03""",E,"=""64888.964""","=""81849.68""","=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","=""3s2.3p3.(4S*).10s""","=""3S*""","=""1""",,"=""T7952""","=""""",
"=""""","=""589.519+""","=""""","=""7.12e-04""",E,"=""64891.386""","=""81849.68""","=""3s2.3p3.(4S*).4p""","=""3P""","=""0""","=""3s2.3p3.(4S*).10s""","=""3S*""","=""1""",,"=""T7952""","=""""",
"=""""","=""589.560+""","=""""","=""3.55e-03""",D,"=""64892.582""","=""81849.68""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).10s""","=""3S*""","=""1""",,"=""T7952""","=""""",
"=""""","=""595.819+""","=""""","=""4.45e-03""",D,"=""64888.964""","=""81667.93""","=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","=""3s2.3p3.(4S*).8d""","=""3D*""","=""1""",,"=""T7952""","=""""",
"=""595.911""","=""595.902""","=""1*""","=""8.00e-03""",D,"=""64888.964""","=""81665.61""","=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","=""3s2.3p3.(4S*).8d""","=""3D*""","=""2""",,"=""T7952""","=""L7427""",
"=""595.911""","=""595.905""","=""1*""","=""5.91e-03""",D,"=""64891.386""","=""81667.93""","=""3s2.3p3.(4S*).4p""","=""3P""","=""0""","=""3s2.3p3.(4S*).8d""","=""3D*""","=""1""",,"=""T7952""","=""L7427""",
"=""""","=""595.948+""","=""""","=""2.96e-04""",E',"=""64892.582""","=""81667.93""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).8d""","=""3D*""","=""1""",,"=""T7952""","=""""",
"=""""","=""596.030+""","=""""","=""2.67e-03""",D,"=""64892.582""","=""81665.61""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).8d""","=""3D*""","=""2""",,"=""T7952""","=""""",
"=""596.119""","=""596.121""","=""1""","=""1.06e-02""",D,"=""64892.582""","=""81663.05""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).8d""","=""3D*""","=""3""",,"=""T7952""","=""L7427""",
"=""604.193""","=""604.192""","=""3""","=""1.51e-02""",D,"=""63446.065""","=""79992.50""","=""3s2.3p3.(4S*).4p""","=""5P""","=""1""","=""3s2.3p3.(4S*).6d""","=""5D*""","=""2""",,"=""T7952""","=""L7427""",
"=""""","=""604.597+""","=""""","=""2.51e-02""",D+,"=""63457.142""","=""79992.50""","=""3s2.3p3.(4S*).4p""","=""5P""","=""2""","=""3s2.3p3.(4S*).6d""","=""5D*""","=""2""",,"=""T7952""","=""""",
"=""604.604""","=""604.604""","=""5""","=""2.87e-02""",D+,"=""63457.142""","=""79992.32""","=""3s2.3p3.(4S*).4p""","=""5P""","=""2""","=""3s2.3p3.(4S*).6d""","=""5D*""","=""3""",,"=""T7952""","=""L7427""",
"=""""","=""605.253+""","=""""","=""2.87e-03""",D,"=""63475.051""","=""79992.50""","=""3s2.3p3.(4S*).4p""","=""5P""","=""3""","=""3s2.3p3.(4S*).6d""","=""5D*""","=""2""",,"=""T7952""","=""""",
"=""""","=""605.259+""","=""""","=""1.43e-02""",D+,"=""63475.051""","=""79992.32""","=""3s2.3p3.(4S*).4p""","=""5P""","=""3""","=""3s2.3p3.(4S*).6d""","=""5D*""","=""3""",,"=""T7952""","=""""",
"=""605.266""","=""605.266""","=""10""","=""4.30e-02""",D+,"=""63475.051""","=""79992.15""","=""3s2.3p3.(4S*).4p""","=""5P""","=""3""","=""3s2.3p3.(4S*).6d""","=""5D*""","=""4""",,"=""T7952""","=""L7427""",
"=""""","=""608.184+""","=""""","=""3.23e-03""",D,"=""64888.964""","=""81326.81""","=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","=""3s2.3p3.(4S*).9s""","=""3S*""","=""1""",,"=""T7952""","=""""",
"=""""","=""608.273+""","=""""","=""1.08e-03""",E,"=""64891.386""","=""81326.81""","=""3s2.3p3.(4S*).4p""","=""3P""","=""0""","=""3s2.3p3.(4S*).9s""","=""3S*""","=""1""",,"=""T7952""","=""""",
"=""""","=""608.318+""","=""""","=""5.37e-03""",D,"=""64892.582""","=""81326.81""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).9s""","=""3S*""","=""1""",,"=""T7952""","=""""",
